Model,Arithmetic,Primary,Middle,High,College,Average,link,opensourced,mathLM
GLM4,61.7,80.0,55.7,38.7,20.7,51.3,https://zhipuai.cn/devday,FALSE,FALSE
GPT-4-0125-Preview,76.0,82.3,59.0,41.3,35.3,58.8,https://openai.com/research/gpt-4,FALSE,FALSE
Qwen-Max-0428,72.3,86.3,65.0,45.0,27.3,59.2,https://help.aliyun.com/zh/dashscope/developer-reference/model-introduction?spm=a2c4g.11186623.0.0.1e07f97e95MZ8r,FALSE,FALSE
DeepSeek-V2-API,82.7,89.3,59.0,39.3,29.3,59.9,https://github.com/deepseek-ai/DeepSeek-LLM,FALSE,FALSE
Claude-3-Opus,85.7,85.0,58.0,42.7,43.7,63.0,https://docs.anthropic.com/claude/docs/models-overview,FALSE,FALSE
GPT-4o-2024-05-13,77.7,87.7,76.3,59.0,54.0,70.9,https://openai.com/research/gpt-4,FALSE,FALSE
Yi-6B-Chat,35.3,36.3,7.0,3.0,4.3,17.2,https://github.com/01-ai/Yi,TRUE,FALSE
ChatGLM3-6B,38.0,41.0,13.7,5.3,1.7,19.9,https://github.com/THUDM/ChatGLM3,TRUE,FALSE
DeepSeek-7B-Chat,48.3,47.7,8.7,4.3,2.7,22.3,https://github.com/deepseek-ai/DeepSeek-LLM,TRUE,FALSE
Qwen-7B-Chat,50.7,50.7,22.0,9.3,6.0,27.7,https://github.com/QwenLM/Qwen,TRUE,FALSE
InternLM2-Chat-7B,52.0,66.3,30.0,13.7,8.7,34.1,https://github.com/InternLM/InternLM,TRUE,FALSE
Llama-3-8B-Instruct,54.7,71.0,25.0,19.0,14.0,36.7,https://github.com/facebookresearch/llama,TRUE,FALSE
Baichuan2-13B-Chat,40.0,44.7,13.7,4.7,1.7,20.9,https://github.com/baichuan-inc/Baichuan2,TRUE,FALSE
Yi-34B-Chat,50.7,62.0,23.0,14.7,7.7,31.6,https://github.com/01-ai/Yi,TRUE,FALSE
Qwen-14B-Chat,63.7,61.7,39.0,21.0,12.0,39.5,https://github.com/QwenLM/Qwen,TRUE,FALSE
InternLM2-Chat-20B,62.3,72.7,37.7,24.7,13.0,42.1,https://github.com/InternLM/InternLM,TRUE,FALSE
DeepSeek-67B-Chat,62.0,72.7,33.3,21.3,12.0,40.3,https://github.com/deepseek-ai/DeepSeek-LLM,TRUE,FALSE
Qwen-72B-Chat,72.0,71.7,53.7,32.0,19.0,49.7,https://github.com/QwenLM/Qwen,TRUE,FALSE
Llama-3-70B-Instruct,70.3,86.0,53.0,38.7,34.0,56.4,https://github.com/facebookresearch/llama,TRUE,FALSE
Qwen1_5-110B-Chat,70.3,82.3,64.0,47.3,28.0,58.4,https://github.com/QwenLM/Qwen,TRUE,FALSE
MammoTH-7B,27.0,24.3,2.7,1.7,0.7,11.3,https://github.com/metamath/metamath-llm,TRUE,TRUE
MammoTH-13B,35.0,43.0,5.0,4.7,5.0,18.5,https://github.com/metamath/metamath-llm,TRUE,TRUE
MammoTH-70B,35.7,60.0,11.0,10.7,6.0,24.7,https://github.com/metamath/metamath-llm,TRUE,TRUE
Metamath-Llemma-7B,51.7,51.0,8.3,8.3,5.0,24.9,https://github.com/metamath/metamath-llm,TRUE,TRUE
InternLM2-Chat-Math-7B,53.7,67.0,41.3,18.3,8.0,37.7,https://github.com/InternLM/InternLM-Math,TRUE,TRUE
DeepSeek-Math-7B-Instruct,61.0,74.0,30.3,24.7,14.3,40.9,https://github.com/deepseek-ai/DeepSeek-Math,TRUE,TRUE
InternLM2-Chat-Math-20B,58.7,70.0,43.7,24.7,12.7,41.9,https://github.com/InternLM/InternLM-Math,TRUE,TRUE
DeepSeek-Math-7B-RL,68.0,83.3,44.3,33.0,23.0,50.3,https://github.com/deepseek-ai/DeepSeek-Math,TRUE,TRUE
