Model,Calculate,Primary,Middle,High,College,CE Average,link,opensourced,mathLM
internlm2-chat-7B-hf,53.00,67.67,25.00,14.34,6.34,31.07,https://github.com/QwenLM/Qwen,TRUE,FALSE
internlm2-chat-20B-hf,62.67,75.67,39.67,23.67,13.67,40.89,https://github.com/QwenLM/Qwen,TRUE,FALSE
qwen-7B-chat-hf,51.33,48.67,22.00,9.67,5.50,24.78,https://github.com/QwenLM/Qwen,TRUE,FALSE
qwen-14B-chat-hf,64.67,61.34,36.67,19.67,7.84,35.07,https://github.com/QwenLM/Qwen,TRUE,FALSE
qwen-72B-chat-hf,72.00,70.67,52.67,30.67,15.34,45.63,https://github.com/QwenLM/Qwen,TRUE,FALSE
deepseek-7B-chat-hf,46.00,45.67,5.00,3.67,1.84,17.59,https://github.com/QwenLM/Qwen,TRUE,FALSE
deepseek-67B-chat-hf,61.33,76.34,33.00,19.00,23.34,40.52,https://github.com/QwenLM/Qwen,TRUE,FALSE
chatglm3-6B-hf,41.00,42.67,11.67,3.00,0.50,17.41,https://github.com/QwenLM/Qwen,TRUE,FALSE
mammoth-7B,26.67,24.33,3.00,1.34,1.00,9.56,https://github.com/QwenLM/Qwen,TRUE,TRUE
mammoth-13B,35.00,41.67,5.00,4.00,4.34,16.11,https://github.com/QwenLM/Qwen,TRUE,TRUE
mammoth-70B,35.67,60.67,11.00,8.34,5.34,22.93,https://github.com/QwenLM/Qwen,TRUE,TRUE
GPT-3.5-turbo,71.00,66.67,16.67,14.34,8.34,31.45,https://github.com/QwenLM/Qwen,FALSE,FALSE
GPT-4,73.00,89.34,52.34,33.00,26.67,52.85,https://github.com/QwenLM/Qwen,FALSE,FALSE
